x_openingsales,open_res_own_snow_6,open_res_own_snow_0,open_res_own_rain_6,open_res_own_rain_0,open_res_own_mat5_10_6,open_res_own_mat5_10_0,open_res_own_mat5_15_6,open_res_own_mat5_15_0,open_res_own_mat5_20_6,open_res_own_mat5_20_0,open_res_own_mat5_25_6,open_res_own_mat5_25_0,open_res_own_mat5_30_6,open_res_own_mat5_30_0,open_res_own_mat5_35_6,open_res_own_mat5_35_0,open_res_own_mat5_40_6,open_res_own_mat5_40_0,open_res_own_mat5_45_6,open_res_own_mat5_45_0,open_res_own_mat5_50_6,open_res_own_mat5_50_0,open_res_own_mat5_55_6,open_res_own_mat5_55_0,open_res_own_mat5_60_6,open_res_own_mat5_60_0,open_res_own_mat5_65_6,open_res_own_mat5_65_0,open_res_own_mat5_70_6,open_res_own_mat5_70_0,open_res_own_mat5_75_6,open_res_own_mat5_75_0,open_res_own_mat5_80_6,open_res_own_mat5_80_0,open_res_own_mat5_85_6,open_res_own_mat5_85_0,open_res_own_mat5_90_6,open_res_own_mat5_90_0,open_res_own_mat5_95_6,open_res_own_mat5_95_0,open_res_own_prec_0_6,open_res_own_prec_0_0,open_res_own_prec_1_6,open_res_own_prec_1_0,open_res_own_prec_2_6,open_res_own_prec_2_0,open_res_own_prec_3_6,open_res_own_prec_3_0,open_res_own_prec_4_6,open_res_own_prec_4_0,open_res_own_prec_5_6,open_res_own_prec_5_0,y_ticketsales
1.7952484,.091930076,.26820233,-.041232884,.16898426,-.0092580393,-.0092324661,-.010057547,-.0088194478,.018694952,-.0013766234,.19665624,.13202569,.067389101,.041488744,-.050325304,.030345082,-.034896806,-.042306922,-.027932011,-.056150652,-.089077823,-.03125494,-.027333731,.037879676,.012632159,-.049559645,-.025703194,-.0079992246,-.034641825,-.038428079,-.0018573668,-.0054031755,-.011856585,-.013513581,.0030250109,.0039855703,.0168208,.011413118,.0077219699,.006906861,.017709445,-.20251586,.00086174754,.060771599,-.007097716,.021853738,-.012494934,.034953021,-.0031287801,.064692192,.0041502309,.020245295,.99993813
.28733575,-.041588765,.12622085,.063765176,.14027691,-.025332624,.052361432,-.017726481,.016409392,-.010068197,.042326018,-.020446183,.01496987,-.048077416,-.020315899,-.029682247,-.023100499,-.059128422,-.073870778,.020981232,.010727035,.0087013207,-.010285167,.049828097,-.027494576,.01887683,-.049913231,.032811798,.014258772,.036286436,-.0071350569,.017052909,.038134787,-.0048530637,-.012827441,.0029799461,.0085371081,.012740673,.010833112,.015055392,.016385119,.015228319,-.14290437,-.0073706834,.052588053,-.020510713,.033080623,-.0012726772,.013188909,.0052618012,.00024128317,.0086639533,.043805499,.26091111
1.971873,.064387083,.13070762,.18869509,.21937454,-.058450878,-.010762018,-.037446577,-.028899478,-.031595252,-.016083078,.0024398766,.024287879,.13234213,.072518133,.0048859669,-.011561153,.0040865708,-.0164076,.037024546,.015497422,-.025358075,-.0054384954,-.020495094,.032941002,.00025046617,-.0208179,.0027206109,-.014656936,-.013391296,-.029792311,-.022982255,-.020606104,-.012454418,-.0086430404,.0073293988,.0073293988,.013930365,.013930365,.017163904,.017163904,-.043165438,-.12667829,.015541323,.06804584,.017587882,.053529229,-.0019438352,.0094987936,.0041426574,.00019313944,.007837397,-.0045887311,1.0207498
1.0007865,.075116009,.16982973,.0032413176,.076949343,.067126445,.043409254,.054706287,.14877971,.06395483,.056700472,-.019710734,.0052286186,-.040936489,-.023011081,-.021551602,-.048405308,-.038438108,-.034303274,-.039232168,-.050363015,-.020645659,-.050902471,.044972267,-.035214011,-.010169593,-.020650452,.0064776116,-.023932863,-.047887061,.023829583,-.026445132,-.012452479,-.011567031,-.012796585,.0060861963,.0070467559,.016006567,.010598885,.017253371,.016438263,.0022368312,-.11549954,.0020412097,.070771769,-.0055818087,.015478612,-.0020669564,.0090574091,.0028917466,.0040327189,.00047897481,.016159032,.46664453
4.1371603,-.15799901,-.16103639,-.18496685,-.027075313,-.016425228,-.017040817,-.011926295,-.01197052,-.02123145,-.020361114,-.049558792,-.040903848,-.069540732,-.057209652,-.081032507,-.08839763,-.0082956748,-.061733916,-.021539161,.0082988301,.15541103,.052142009,.17054963,.12879877,.069311738,.12580551,-.021531874,.035994116,-.065293618,-.020674031,-.037305456,-.037222382,-.02613515,-.024806613,.00072529283,.0016858523,.016291922,.010884239,.017526329,.01671122,.075185776,-.0012337497,-.03194306,.013106332,-.011897644,.009096385,-.011274727,-.0035968979,-.0056387573,-.0049277809,-.014431571,-.012444271,2.4344809
1.3935189,-.0015759418,.036060501,-.097756125,.090211384,-.0043026684,-.0049182577,-.0036181239,-.0036623492,-.0043375553,-.0051719309,.0071347649,-.013818577,.0044677518,-.019412404,.00044922854,.024394609,.068951219,.054964494,-.0013840353,-.018212801,-.011216986,-.0010871238,.00017350394,.0070202216,.010530257,.01287597,-.020126935,-.013129127,-.042364463,-.037398223,.0037492316,.0097930087,-.037928432,-.016798532,-.0020488384,-.0040695397,.015659634,.013233212,.01621245,.015397341,.063425496,.060123801,-.011228384,-.032452777,-.02151626,-.0077830893,-.010987489,-.0065113576,-.0059618577,-.002270302,-.013731509,-.011106275,.79407012
1.3802845,-.0079385946,-.0058625173,.073816933,.15449117,-.0039205411,-.0045361305,-.0025589524,-.0026031777,-.00084449328,-.0010400275,.0023455818,.0028999066,.0047862153,.0075244592,.0051461291,.0056677717,-.0070549576,.007073612,.015559396,.010227328,.00022851003,.07725618,-.012669408,-.052262507,-.066451497,-.082000248,-.10922313,-.070906386,.0047577955,.047432929,.11926474,.0066496697,.023783719,-.028574936,-.029403368,-.0071390169,.041342299,.017400317,.014911957,.066930249,-.1065056,-.10767655,.030091533,.0050231116,.038410477,.06280072,.021723306,.016188288,.0039557377,.018726807,.012324538,.0049376236,.75760394
3.8308592,.00084522326,.0020788054,-.06528119,.084179327,-.0039210315,-.0039269035,-.0023742977,-.0022407735,-.0010386248,-.00089390087,.00161655,.0016149441,.0062173698,.0057434659,.0056402418,.0049096923,-.0005053957,-6.4572046e-06,-.00546112,-.001637526,.009068016,-.00082605798,.054398101,.0067635761,.089653865,.011828256,.043328781,.027903896,-.029638708,.13703349,-.063072622,-.061977021,-.043333963,-.10474236,-.070557073,-.061674725,.015599338,.024900537,-.0056194188,.017227875,.022780512,-.10880151,-.0028939492,.027296564,-.0066741449,.00014953126,-.0048362864,.012650913,-.0017048495,.02091494,-.0066712731,.04778957,1.8175454
1.4663413,.0031181164,.00093343557,-.092066526,-.11532441,-.0041566459,-.0047722352,-.0027365224,-.0027807476,-.0010996824,-.0012952166,.0020121029,.0025664277,.006192788,.0089310315,.0073961173,.0068525705,.00048100119,-.000090045723,-.00074002944,-.0003200733,-.0072402484,-.0039261905,.00720806,.0059642801,.0017268704,-.0061434433,.046296954,-.0056574838,.18544987,-.018140662,.063271217,.14038906,-.10077014,.050373152,-.05227948,-.044934582,-.087644629,-.073473677,-.063367613,-.053542159,.060821857,.044750944,-.026998119,-.014158712,-.011971586,-.013994196,-.0040387851,.00022208781,-.0049104025,-.0054773828,-.012902963,-.011342738,.96660167
1.9769423,-.047088459,.17957835,-.11248497,.056634922,-.024819085,.054258484,-.02264918,.026315756,-.040094066,-.014719601,-.065722629,-.046630055,-.040835332,-.040014837,.059405822,.018376447,.042357039,.047326159,.030837089,.003130048,.015740763,-.023345767,-.030651962,-.01804832,.026998362,-.039480746,.018781107,.023438539,-.03818652,-.031940006,.017325586,.017407931,.013459134,-.010144169,.0053138398,.007552899,.015632113,.01022443,.017107915,.016292807,.076484337,.073609352,-.029683396,-.028334981,-.014802815,-.015125385,-.011368149,-.010725067,-.0037777813,-.0037063276,-.016852193,-.01571759,1.4065983
